Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
1/28/2024 23:07:36,Yes,Yellow Expert,,3%,200-300,,,,Green Beginner results,48.13%
1/28/2024 23:17:52,Yes,Red Advanced,,0.50%,200-300,,,,Yellow Beginner results,29%
1/28/2024 23:28:28,Yes,Red Grandmaster,,0.50%,2000+,,,,Red Beginner results,23%
1/28/2024 23:29:21,Yes,Yellow Grandmaster,B-Sides 6-7,3%,300-500,,,,Green Intermediate Results,26.30%
1/28/2024 23:29:57,Yes,Green Expert,,3%,200-300,,,,Yellow intermediate Results,24%
1/28/2024 23:30:08,Yes,Red Intermediate,,7.50%,150-200,,,,Red Intermediate Results,17.54%
1/28/2024 23:30:42,Yes,Red Expert,,3%,750-1000,,,,Green Advanced Results,13%
1/28/2024 23:31:20,Yes,Grandmaster+,,0.50%,500-750,,,,Yellow Advanced Results,18%
1/28/2024 23:32:08,Yes,Red Expert,,7.50%,300-500,,,,Red Advanced Results,12.39%
1/28/2024 23:32:24,Yes,Grandmaster+,,0.50%,2000+,,,,Green Expert Results,11%
1/28/2024 23:32:40,Yes,Red Grandmaster,,0.50%,1500-2000,,,,Yellow Expert Results,11%
1/28/2024 23:33:26,Yes,Green Grandmaster,,0.50%,500-750,,,,Red Expert Results,10%
1/28/2024 23:33:52,Yes,Grandmaster+,,0.50%,1000-1500,,,,Green Grandmaster Results,6.32%
1/28/2024 23:34:31,Yes,Red Grandmaster,,0.50%,200-300,,,,Yellow Grandmaster Results,7%
1/28/2024 23:36:59,Yes,Red Grandmaster,,0.50%,500-750,,,,Red Grandmaster Results,2.71%
1/28/2024 23:37:00,Yes,Green Expert,,15%,200-300,,,,Grandmaster+ Results,3.18%
1/28/2024 23:38:08,No,Yellow Beginner,B-Sides 6-7,3%,20-30,,,,,
1/28/2024 23:39:32,Yes,Red Expert,,7.50%,500-750,,,,,
1/28/2024 23:39:55,Yes,Red Advanced,,7.50%,100-150,,,,,
1/28/2024 23:40:15,Yes,Yellow Intermediate,Farewell,15%,150-200,,,,,
1/28/2024 23:40:20,No,Green Beginner,C-Sides 1-2,7.50%,20-30,,,,48.13%,
1/28/2024 23:40:33,No,,Farewell,65%,60-75,,,,,
1/28/2024 23:41:01,Yes,Grandmaster+,,3%,300-500,,,,,
1/28/2024 23:41:04,Yes,Grandmaster+,,3%,750-1000,,,,,
1/28/2024 23:41:05,Yes,Red Beginner,Farewell,35%,60-75,,,,,
1/28/2024 23:42:00,Yes,Green Beginner,,95%,30-40,,,,,
1/28/2024 23:42:53,Yes,Green Intermediate,Farewell,7.50%,50-60,,,,,
1/28/2024 23:42:54,Yes,Red Grandmaster,,0.50%,2000+,,,,,
1/28/2024 23:43:05,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/28/2024 23:43:16,Yes,Red Advanced,,15%,100-150,,,,,
1/28/2024 23:43:24,Yes,Green Intermediate,,35%,100-150,,,,,
1/28/2024 23:43:38,No,,,7.50%,50-60,,,,,
1/28/2024 23:43:54,Yes,Green Grandmaster,,0.50%,150-200,,,,,
1/28/2024 23:44:00,Yes,Grandmaster+,,7.50%,2000+,,,,,
1/28/2024 23:44:24,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/28/2024 23:44:47,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/28/2024 23:45:50,Yes,Red Expert,Farewell,3%,300-500,,,,,
1/28/2024 23:45:52,Yes,Yellow Intermediate,Farewell,25%,200-300,,,,,
1/28/2024 23:46:19,Yes,Red Advanced,,7.50%,1500-2000,,,,,
1/28/2024 23:46:40,Yes,Red Advanced,,7.50%,200-300,,,,,
1/28/2024 23:51:27,No,,B-Sides 3-5,85%,10-20,,,,,
1/28/2024 23:51:39,No,,B-Sides 3-5,95%,60-75,,,,,
1/28/2024 23:51:41,Yes,Green Intermediate,,3%,50-60,,,,,
1/28/2024 23:55:08,Yes,Red Beginner,,7.50%,50-60,,,,,
1/28/2024 23:55:24,Yes,Red Intermediate,Farewell,7.50%,150-200,,,,,
1/28/2024 23:56:39,No,,Farewell,75%,75-100,,,,,
1/28/2024 23:57:38,Yes,Red Expert,,3%,500-750,,,,,
1/28/2024 23:58:17,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/28/2024 23:59:22,Yes,Red Grandmaster,,0.50%,500-750,,,,,
1/29/2024 0:00:08,Yes,Yellow Intermediate,,3%,75-100,,,,,
1/29/2024 0:00:15,No,,Farewell,55%,200-300,,,,,
1/29/2024 0:00:54,Yes,Yellow Advanced,,25%,100-150,,,,,
1/29/2024 0:02:42,Yes,Green Advanced,Farewell,3%,300-500,,,,,
1/29/2024 0:02:52,Yes,Yellow Intermediate,,35%,100-150,,,,,
1/29/2024 0:04:09,Yes,Green Advanced,,15%,150-200,,,,,
1/29/2024 0:04:24,No,,Farewell,3%,50-60,,,,,
1/29/2024 0:05:48,No,Yellow Intermediate,Farewell,3%,100-150,,,,,
1/29/2024 0:05:49,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 0:05:50,Yes,Red Grandmaster,Chapters 6-7,0.50%,2000+,,,,,
1/29/2024 0:06:13,Yes,Green Grandmaster,Farewell,7.50%,750-1000,,,,,
1/29/2024 0:06:46,No,,B-Sides 6-7,15%,75-100,,,,,
1/29/2024 0:08:27,No,,Farewell,25%,75-100,,,,,
1/29/2024 0:11:51,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 0:12:51,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 0:13:02,Yes,Yellow Intermediate,Farewell,35%,100-150,,,,,
1/29/2024 0:13:04,Yes,Red Intermediate,,35%,100-150,,,,,
1/29/2024 0:13:53,Yes,Red Intermediate,,35%,100-150,,Stats Known to be true:,,,
1/29/2024 0:13:59,Yes,Red Grandmaster,,3%,500-750,,Skill level:,Actual Percentile:,,
1/29/2024 0:14:03,No,,,25%,100-150,,Green Beginner,66.50%,,
1/29/2024 0:15:14,Yes,Green Advanced,B-Sides 6-7,3%,100-150,,Yellow Beginner,52.40%,,
1/29/2024 0:15:47,Yes,Red Expert,,0.50%,500-750,,Red Beginner,20%,,
1/29/2024 0:16:07,No,,C-Sides 3-5,25%,75-100,,Green Intermediate,12.50%,,
1/29/2024 0:16:15,No,,B-Sides 6-7,55%,30-40,,Yellow Intermediate,11%,,
1/29/2024 0:16:31,Yes,Red Intermediate,Farewell,55%,50-60,,Red Intermediate,8%,,
1/29/2024 0:18:38,Yes,Red Advanced,,3%,75-100,,Green Advanced,7%,,
1/29/2024 0:20:05,Yes,Yellow Expert,,0.50%,200-300,,Yellow Advanced,6%,,
1/29/2024 0:23:09,Yes,Red Expert,,0.50%,300-500,,Red Advanced ,5%,,
1/29/2024 0:23:38,Yes,Red Advanced,,0.50%,300-500,,Green Expert ,4%,,
1/29/2024 0:24:44,Yes,Red Grandmaster,,0.50%,750-1000,,Yellow Expert,3.50%,,
1/29/2024 0:24:48,Yes,Red Advanced,,5%,200-300,,Red Expert ,2.50%,,
1/29/2024 0:24:56,Yes,Grandmaster+,,95%,1000-1500,,Green Grandmaster,1.50%,,
1/29/2024 0:25:16,Yes,Red Expert,,7.50%,200-300,,Yellow Grandmaster ,1.25%,,
1/29/2024 0:25:20,Yes,Green Grandmaster,,3%,1000-1500,,Red Grandmaster,1%,,
1/29/2024 0:25:44,Yes,Red Expert,Farewell,0.50%,300-500,,Grandmaster+,0.50%,,
1/29/2024 0:26:23,Yes,Green Advanced,,5%,100-150,,,,,
1/29/2024 0:26:42,Yes,Yellow Intermediate,,7.50%,30-40,,,,,
1/29/2024 0:26:51,Yes,Red Advanced,,3%,200-300,,,,,
1/29/2024 0:27:52,No,,C-Sides 6-7,7.50%,100-150,,,,,
1/29/2024 0:29:06,Yes,Yellow Advanced,,3%,150-200,,,,,
1/29/2024 0:29:46,No,,Farewell,3%,100-150,,,,,
1/29/2024 0:31:47,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 0:32:50,Yes,Red Advanced,Farewell,7.50%,100-150,,,,,
1/29/2024 0:33:02,Yes,Yellow Advanced,Farewell,55%,100-150,,,,,
1/29/2024 0:33:46,Yes,Grandmaster+,,0.50%,750-1000,,,,,
1/29/2024 0:34:27,Yes,Green Grandmaster,,3%,200-300,,,,,
1/29/2024 0:37:23,No,,Farewell,15%,200-300,,,,,
1/29/2024 0:37:52,Yes,Green Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 0:38:31,No,,Farewell,75%,300-500,,,,,
1/29/2024 0:38:44,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 0:42:00,No,,Farewell,7.50%,40-50,,,,,
1/29/2024 0:43:03,No,Yellow Intermediate,Farewell,15%,50-60,,,,,
1/29/2024 0:43:39,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 0:44:58,Yes,Green Intermediate,Farewell,15%,100-150,,,,,
1/29/2024 0:45:38,Yes,Green Advanced,,7.50%,200-300,,,,,
1/29/2024 0:46:16,Yes,Red Advanced,Farewell,25%,300-500,,,,,
1/29/2024 0:47:32,Yes,5%,,7.50%,100-150,,,,,
1/29/2024 0:47:38,Yes,Yellow Grandmaster,,3%,300-500,,,,,
1/29/2024 0:48:23,Yes,Red Advanced,,55%,,,,,,
1/29/2024 0:49:04,Yes,Yellow Grandmaster,,25%,300-500,,,,,
1/29/2024 0:52:11,Yes,Red Beginner,Farewell,85%,40-50,,,,,
1/29/2024 0:52:44,Yes,Red Expert,,35%,200-300,,,,,
1/29/2024 0:52:55,Yes,Red Grandmaster,,0.50%,300-500,,,,,
1/29/2024 0:52:56,No,,,7.50%,100-150,,,,,
1/29/2024 0:54:48,No,,Farewell,0.50%,1000-1500,,,,,
1/29/2024 0:55:29,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/29/2024 0:57:20,Yes,Red Intermediate,,7.50%,50-60,,,,,
1/29/2024 1:00:21,Yes,Green Grandmaster,,0.50%,1000-1500,,,,,
1/29/2024 1:01:16,Yes,Red Expert,,95%,150-200,,,,,
1/29/2024 1:02:35,Yes,Green Advanced,Farewell,3%,300-500,,,,,
1/29/2024 1:02:43,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 1:03:57,Yes,Yellow Advanced,,3%,200-300,,,,,
1/29/2024 1:05:28,Yes,Red Expert,,85%,500-750,,,,,
1/29/2024 1:07:08,No,,Farewell,15%,30-40,,,,,
1/29/2024 1:07:56,No,,Farewell,3%,200-300,,,,,
1/29/2024 1:10:04,Yes,Red Expert,,25%,300-500,,,,,
1/29/2024 1:10:34,Yes,Yellow Intermediate,Farewell,25%,200-300,,,,,
1/29/2024 1:14:19,No,,,7.50%,100-150,,,,,
1/29/2024 1:16:44,Yes,Red Grandmaster,,0.50%,500-750,,,,,
1/29/2024 1:17:43,Yes,Red Advanced,,35%,500-750,,,,,
1/29/2024 1:18:06,No,,B-Sides 3-5,55%,10-20,,,,,
1/29/2024 1:18:33,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 1:18:35,Yes,Yellow Expert,,5%,150-200,,,,,
1/29/2024 1:20:10,No,,,3%,150-200,,,,,
1/29/2024 1:21:31,Yes,Green Expert,,3%,200-300,,,,,
1/29/2024 1:24:53,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 1:31:09,No,,Farewell,65%,200-300,,,,,
1/29/2024 1:33:50,Yes,Red Expert,,0.50%,200-300,,,,,
1/29/2024 1:34:54,No,,Farewell,3%,30-40,,,,,
1/29/2024 1:35:10,No,,Farewell,55%,30-40,,,,,
1/29/2024 1:35:36,No,Green Advanced,Chapters 1-3,7.50%,60-75,,,,,
1/29/2024 1:38:20,Yes,Yellow Expert,,15%,300-500,,,,,
1/29/2024 1:38:26,Yes,Red Advanced,,3%,300-500,,,,,
1/29/2024 1:43:03,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/29/2024 1:43:35,No,,Farewell,55%,60-75,,,,,
1/29/2024 1:44:41,Yes,Green Expert,Farewell,0.50%,750-1000,,,,,
1/29/2024 1:45:59,Yes,Red Intermediate,,15%,300-500,,,,,
1/29/2024 1:46:18,No,,B-Sides 3-5,35%,60-75,,,,,
1/29/2024 1:47:11,No,,,7.50%,75-100,,,,,
1/29/2024 1:49:22,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 1:51:45,Yes,Red Intermediate,,7.50%,150-200,,,,,
1/29/2024 1:51:53,No,,B-Sides 6-7,35%,75-100,,,,,
1/29/2024 1:52:20,No,,C-Sides 6-7,55%,40-50,,,,,
1/29/2024 1:52:32,Yes,Red Intermediate,,3%,200-300,,,,,
1/29/2024 1:53:27,No,,Farewell,25%,40-50,,,,,
1/29/2024 1:56:47,Yes,Red Intermediate,,7.50%,75-100,,,,,
1/29/2024 1:57:57,No,,Core,25%,10-20,,,,,
1/29/2024 2:00:39,No,,B-Sides 6-7,25%,50-60,,,,,
1/29/2024 2:03:57,Yes,Red Intermediate,,3%,100-150,,,,,
1/29/2024 2:07:25,No,,Chapters 4-5,7.50%,10-20,,,,,
1/29/2024 2:07:34,Yes,Yellow Expert,,7.50%,1000-1500,,,,,
1/29/2024 2:11:46,No,,Farewell,3%,100-150,,,,,
1/29/2024 2:15:40,Yes,Red Intermediate,Farewell,15%,75-100,,,,,
1/29/2024 2:16:35,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 2:18:36,No,,Farewell,85%,200-300,,,,,
1/29/2024 2:19:54,Yes,Yellow Advanced,,3%,200-300,,,,,
1/29/2024 2:22:50,Yes,Green Grandmaster,,3%,300-500,,,,,
1/29/2024 2:22:56,No,,Farewell,7.50%,10-20,,,,,
1/29/2024 2:24:27,Yes,Green Advanced,,3%,75-100,,,,,
1/29/2024 2:26:16,Yes,Green Expert,,3%,500-750,,,,,
1/29/2024 2:32:43,Yes,Green Grandmaster,,3%,500-750,,,,,
1/29/2024 2:33:35,Yes,Green Expert,,15%,200-300,,,,,
1/29/2024 2:34:54,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 2:37:39,No,,Farewell,95%,100-150,,,,,
1/29/2024 2:37:56,Yes,Red Intermediate,,7.50%,50-60,,,,,
1/29/2024 2:38:27,Yes,Yellow Advanced,Farewell,7.50%,100-150,,,,,
1/29/2024 2:44:33,No,,Farewell,3%,60-75,,,,,
1/29/2024 2:53:45,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 2:56:16,No,,,45%,5-10,,,,,
1/29/2024 2:56:41,No,,Core,65%,20-30,,,,,
1/29/2024 2:57:51,Yes,Yellow Advanced,,3%,75-100,,,,,
1/29/2024 2:59:08,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 2:59:39,Yes,Yellow Grandmaster,,0.50%,300-500,,,,,
1/29/2024 3:00:07,Yes,Red Intermediate,,7.50%,100-150,,,,,
1/29/2024 3:03:02,No,,B-Sides 3-5,25%,75-100,,,,,
1/29/2024 3:04:34,No,,Farewell,7.50%,150-200,,,,,
1/29/2024 3:04:45,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 3:07:27,Yes,Yellow Expert,,15%,150-200,,,,,
1/29/2024 3:08:43,Yes,Red Expert,,0.50%,750-1000,,,,,
1/29/2024 3:11:35,Yes,Yellow Advanced,,95%,100-150,,,,,
1/29/2024 3:12:35,No,,Chapters 6-7,95%,10-20,,,,,
1/29/2024 3:13:11,Yes,Yellow Advanced,,0.50%,300-500,,,,,
1/29/2024 3:13:35,No,,Farewell,55%,100-150,,,,,
1/29/2024 3:16:07,Yes,Green Expert,,3%,100-150,,,,,
1/29/2024 3:17:04,Yes,Grandmaster+,,0.50%,300-500,,,,,
1/29/2024 3:17:09,No,,Chapters 4-5,3%,75-100,,,,,
1/29/2024 3:17:35,Yes,Green Expert,Farewell,7.50%,100-150,,,,,
1/29/2024 3:18:40,Yes,Red Expert,,7.50%,500-750,,,,,
1/29/2024 3:19:50,Yes,Green Grandmaster,,35%,1500-2000,,,,,
1/29/2024 3:20:13,Yes,Red Advanced,,0.50%,150-200,,,,,
1/29/2024 3:20:18,No,,Farewell,55%,150-200,,,,,
1/29/2024 3:23:48,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 3:23:50,Yes,Red Intermediate,,7.50%,200-300,,,,,
1/29/2024 3:24:31,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 3:25:53,Yes,Yellow Expert,,3%,200-300,,,,,
1/29/2024 3:26:03,No,,Farewell,7.50%,300-500,,,,,
1/29/2024 3:26:26,Yes,Green Advanced,,7.50%,60-75,,,,,
1/29/2024 3:27:29,Yes,Green Expert,,7.50%,200-300,,,,,
1/29/2024 3:28:50,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 3:28:52,No,,Farewell,7.50%,300-500,,,,,
1/29/2024 3:30:46,Yes,Grandmaster+,,3%,1500-2000,,,,,
1/29/2024 3:31:24,Yes,Red Intermediate,,3%,200-300,,,,,
1/29/2024 3:31:46,Yes,Red Intermediate,Farewell,35%,200-300,,,,,
1/29/2024 3:33:36,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/29/2024 3:40:04,Yes,Red Intermediate,,15%,200-300,,,,,
1/29/2024 3:40:37,No,,Farewell,3%,150-200,,,,,
1/29/2024 3:41:26,Yes,Yellow Expert,,5%,500-750,,,,,
1/29/2024 3:42:01,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 3:42:12,No,,Farewell,7.50%,1000-1500,,,,,
1/29/2024 3:44:27,No,,Farewell,7.50%,20-30,,,,,
1/29/2024 3:44:39,Yes,Green Expert,,3%,500-750,,,,,
1/29/2024 3:47:06,Yes,Red Intermediate,Farewell,35%,40-50,,,,,
1/29/2024 3:47:23,Yes,Red Intermediate,,7.50%,60-75,,,,,
1/29/2024 3:47:48,Yes,Green Intermediate,Farewell,65%,30-40,,,,,
1/29/2024 3:51:40,Yes,Yellow Grandmaster,,3%,2000+,,,,,
1/29/2024 3:51:46,No,,Farewell,7.50%,150-200,,,,,
1/29/2024 3:52:07,No,,,75%,30-40,,,,,
1/29/2024 3:55:34,Yes,Red Advanced,,55%,100-150,,,,,
1/29/2024 3:56:55,No,,Farewell,25%,40-50,,,,,
1/29/2024 3:57:50,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 4:02:43,Yes,Green Advanced,,3%,200-300,,,,,
1/29/2024 4:02:45,Yes,Red Beginner,Farewell,7.50%,75-100,,,,,
1/29/2024 4:04:08,Yes,Yellow Intermediate,,3%,100-150,,,,,
1/29/2024 4:06:38,Yes,Red Advanced,,15%,60-75,,,,,
1/29/2024 4:06:59,Yes,Red Expert,,0.50%,150-200,,,,,
1/29/2024 4:07:42,No,,Farewell,15%,60-75,,,,,
1/29/2024 4:12:38,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/29/2024 4:13:25,No,,,7.50%,500-750,,,,,
1/29/2024 4:13:37,Yes,Green Intermediate,,15%,200-300,,,,,
1/29/2024 4:14:30,Yes,Grandmaster+,,3%,100-150,,,,,
1/29/2024 4:16:53,Yes,Yellow Intermediate,Core,45%,75-100,,,,,
1/29/2024 4:18:52,Yes,Green Expert,,7.50%,75-100,,,,,
1/29/2024 4:21:17,No,,Farewell,25%,40-50,,,,,
1/29/2024 4:22:16,Yes,Yellow Advanced,Farewell,65%,100-150,,,,,
1/29/2024 4:26:07,Yes,Grandmaster+,,3%,300-500,,,,,
1/29/2024 4:28:27,Yes,Yellow Intermediate,,3%,20-30,,,,,
1/29/2024 4:29:31,No,,C-Sides 3-5,25%,10-20,,,,,
1/29/2024 4:30:36,Yes,Green Advanced,,5%,100-150,,,,,
1/29/2024 4:33:43,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 4:34:22,No,,Farewell,3%,40-50,,,,,
1/29/2024 4:35:32,Yes,Green Advanced,,15%,200-300,,,,,
